Project,File,Folder,Absolute path,Role,Destination,Status
African Markets and Business Credit,Part 1 - African Capital and Kenya.md,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit/LinkedIn Articles/Part 1 - African Capital and Kenya.md,Long-form article,LinkedIn; Substack; Medium; Facebook adaptation,Retained existing file
African Markets and Business Credit,Part 2 - Business Credit and Fintech.md,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit/LinkedIn Articles/Part 2 - Business Credit and Fintech.md,Long-form article,LinkedIn; Substack; Medium; Facebook adaptation,Retained existing file
African Markets and Business Credit,Research Questions.md,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit/LinkedIn Articles/Research Questions.md,Research record or supporting data,Research and reproducibility,Retained existing file
African Markets and Business Credit,why are African investors bullish on Kenya e.md,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit,C:/Users/Nevo/Downloads/financial material/African Markets and Business Credit/why are African investors bullish on Kenya e.md,Original topic manuscript,Research source,Retained existing file
International Investing and Diaspora Finance,Discuss all the tax benefits of Irish based UCITs both acc.md,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/Discuss all the tax benefits of Irish based UCITs both acc.md,Original topic manuscript,Research source,Retained existing file
International Investing and Diaspora Finance,build_flowcharts.py,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/build_flowcharts.py,Research record or supporting data,Research and reproducibility,Retained existing file
International Investing and Diaspora Finance,finalize_series.py,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/finalize_series.py,Research record or supporting data,Research and reproducibility,Retained existing file
International Investing and Diaspora Finance,01-dividend-path.mmd,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/01-dividend-path.mmd,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,01-dividend-path.png,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/01-dividend-path.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,02-investment-decision.mmd,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/02-investment-decision.mmd,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,02-investment-decision.png,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/02-investment-decision.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,03-residence-analysis.mmd,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/03-residence-analysis.mmd,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
